
0,CombatZoneResize,310.5,295,337,325,,,,
                   x   y   x   y
0,GasterBlaster,2,600,600,210,305,360,3,10
0,GasterBlaster,2,600,600,435,308,180,3,10
0,GasterBlaster,2,300,600,325,420,270,3,10
0,GasterBlaster,2,600,300,325,198,90,3,10
0,GasterBlaster,2,600,600,210,305,360,3,10
0,GasterBlaster,2,600,600,435,308,180,3,10
0,GasterBlaster,2,300,600,325,420,270,3,10
0,GasterBlaster,2,600,300,325,198,90,3,10
0,GasterBlaster,2,600,600,210,305,360,3,10
0,GasterBlaster,2,600,600,435,308,180,3,10
0,GasterBlaster,2,300,600,325,420,270,3,10
0,GasterBlaster,2,600,300,325,198,90,3,10
0,GasterBlaster,2,600,600,210,305,360,3,10
0.3,EndAttack,,,,,
